title,score_source,score_gpt4o_mini,score_ours,score_our_full_pdf
"CoCoNUT: Structural Code Understanding does not
fall out of a tree",8,5,8,9
"Partially private, optimistic, distributed, and verifiable machine learning inference",7,6,8,9
"SpikeDecoder: Realizing the GPT Architecture
with Spiking Neural Networks",8,6,8,8
"T2Vid: Translating Long Text into Multi-Image
is the Catalyst for Video-LLMs",8,7,9,8
Reverse Thinking Makes LLMs Stronger Reasoners,8,7,8,9
Money Burning Improves Mediated Communication,8,5,8,8
"Condorcet-Consistent Choice
Among Three Candidates",9,7,9,9
Classical transport in a maximally chaotic chain,8,5,8,8
Topological Approach for Data Assimilation,8,9,9,9
"Timely and Energy-Efficient Multi-Step Update
Processing",7,5,8,8
A GEOMETRIC INVARIANT OF LINEAR RANK-METRIC CODES,8,7,8,10
