title,score_source,score_gpt4o_mini,score_ours,score_ours_full_pdf
"CoCoNUT: Structural Code Understanding does not
fall out of a tree",7,4,8,7
"Partially private, optimistic, distributed, and verifiable machine learning inference",7,5,8,8
"SpikeDecoder: Realizing the GPT Architecture
with Spiking Neural Networks",8,7,8,8
"T2Vid: Translating Long Text into Multi-Image
is the Catalyst for Video-LLMs",7,5,7,7
Reverse Thinking Makes LLMs Stronger Reasoners,8,6,8,8
Money Burning Improves Mediated Communication,7,5,7,7
"Condorcet-Consistent Choice
Among Three Candidates",8,7,8,7
Classical transport in a maximally chaotic chain,7,6,7,8
Topological Approach for Data Assimilation,7,8,7,8
"Timely and Energy-Efficient Multi-Step Update
Processing",7,4,7,8
A GEOMETRIC INVARIANT OF LINEAR RANK-METRIC CODES,7,7,8,8
