title,arxiv_ids_source,arxiv_ids_gpt4o_mini
"CoCoNUT: Structural Code Understanding does not
fall out of a tree","[2108.07732, 2401.03065, 2403.07974, 2402.09664, 2102.04664, 2403.16437, 2305.12138, 2402.05980, 2406.01006, 2404.14662]","[2107.03374, 1808.01400]"
"Partially private, optimistic, distributed, and verifiable machine learning inference","[2210.08674, 2402.02675, 2402.06414, 1512.01274, 2008.06402, 1602.05629, 1912.09789, 1706.10268, 2304.05590]","[1610.05820, 2106.09685]"
"SpikeDecoder: Realizing the GPT Architecture
with Spiking Neural Networks","[1706.03762, 2211.01910, 2304.11954, 2302.13939, 2102.04159, 2211.10686]","[1706.03762, 1906.02243]"
"T2Vid: Translating Long Text into Multi-Image
is the Catalyst for Video-LLMs","[2303.08774, 2308.12966, 2304.08485, 2306.05424, 2311.18445, 2404.16994, 2406.07476, 2311.08046, 2311.17005, 2311.10122, 2403.18406, 2407.15841, 2410.10441, 1704.04497, 1906.02467, 2405.21075, ]","[]"
Reverse Thinking Makes LLMs Stronger Reasoners,"[2205.11916, 2201.11903, 2203.11171, 2305.10601, 2303.11366, 2303.17651, 2210.03629, 2305.14325, 2305.19118, 2307.05300, 2405.06373, 2402.00367, 2309.13007, 2212.09561, 2308.07758, 2308.01825, 1503.02531, 2006.10029, 2110.07178, 2305.02301, 2301.12726, 2212.08410, 2306.02707, 2311.11045, 2203.14465, 2206.14858, 2402.01620, 2406.01006, 2309.12284, 2403.04706, 2308.01825, 1511.06709, 1810.00671, 1706.02027]","[1503.02531, 1810.04805, 2005.14165, 1703.03400]"
Money Burning Improves Mediated Communication,"[2303.06244, 1909.10584]",[]
"Condorcet-Consistent Choice
Among Three Candidates",[],[]
Classical transport in a maximally chaotic chain,"[1205.2901, 2004.05043, 2209.07965, 0808.2096, 1503.02676, 2208.03267]",[]
Topological Approach for Data Assimilation,"[1906.04059, 2007.07383]",[]
"Timely and Energy-Efficient Multi-Step Update
Processing","[1701.05711, 1803.07993, 2405.02705, 2009.12657, 2303.14035]",[]
A GEOMETRIC INVARIANT OF LINEAR RANK-METRIC CODES,"[0711.0708, 1312.3194, 1605.05972, 1504.01581, 1707.08487, 1507.08641, 1507.07855, 1806.00251, 1904.05813, 2011.04611, 1911.13059, 1205.3647, 1307.6458, 2106.12465]",[]
